movies_genre(5991, Drama)
movies_genre(208, Action)
movies_genre(209, Drama)
movies_genre(211, Drama)
movies_genre(212, Comedy)
movies_genre(213, Drama)
movies_genre(214, Drama)
movies_genre(215, Drama)
movies_genre(216, Comedy)
movies_genre(217, Drama)
movies_genre(218, Drama)
movies_genre(219, Drama)
movies_genre(222, Drama)
movies_genre(223, Comedy)
movies_genre(224, Drama)
movies_genre(225, Drama)
movies_genre(226, Thriller)
movies_genre(227, Thriller)
movies_genre(228, Comedy)
movies_genre(229, Drama)
movies_genre(230, Drama)
movies_genre(231, Comedy)
movies_genre(232, Drama)
movies_genre(233, Drama)
movies_genre(234, Comedy)
movies_genre(235, Drama)
movies_genre(236, Comedy)
movies_genre(237, Comedy)
movies_genre(239, Comedy)
movies_genre(240, Thriller)
movies_genre(241, Drama)
movies_genre(242, Drama)
movies_genre(243, Comedy)
movies_genre(245, Drama)
movies_genre(247, Drama)
movies_genre(248, Comedy)
movies_genre(249, Drama)
movies_genre(250, Comedy)
movies_genre(251, Action)
movies_genre(252, Comedy)
movies_genre(253, Drama)
movies_genre(254, Drama)
movies_genre(255, Comedy)
movies_genre(256, Comedy)
movies_genre(257, Thriller)
movies_genre(258, Comedy)
movies_genre(259, Drama)
movies_genre(260, Action)
movies_genre(261, Drama)
movies_genre(262, Drama)
movies_genre(263, Drama)
movies_genre(264, Drama)
movies_genre(265, Drama)
movies_genre(266, Drama)
movies_genre(267, Comedy)
movies_genre(268, Drama)
movies_genre(269, Drama)
movies_genre(270, Drama)
movies_genre(271, Drama)
movies_genre(272, Drama)
movies_genre(273, Drama)
movies_genre(274, Comedy)
movies_genre(275, Comedy)
movies_genre(276, Comedy)
movies_genre(277, Drama)
movies_genre(278, Comedy)
movies_genre(279, Drama)
movies_genre(280, Drama)
movies_genre(281, Drama)
movies_genre(282, Drama)
movies_genre(283, Drama)
movies_genre(284, Action)
movies_genre(285, Drama)
movies_genre(286, Thriller)
movies_genre(287, Comedy)
movies_genre(288, Thriller)
movies_genre(289, Comedy)
movies_genre(290, Drama)
movies_genre(291, Drama)
movies_genre(292, Drama)
movies_genre(293, Drama)
movies_genre(294, Comedy)
movies_genre(295, Comedy)
movies_genre(296, Drama)
movies_genre(297, Drama)
movies_genre(298, Drama)
movies_genre(299, Drama)
movies_genre(300, Drama)
movies_genre(301, Drama)
movies_genre(302, Drama)
movies_genre(303, Action)
movies_genre(304, Drama)
movies_genre(305, Comedy)
movies_genre(306, Drama)
movies_genre(307, Drama)
movies_genre(308, Drama)
movies_genre(309, Drama)
movies_genre(310, Comedy)
movies_genre(312, Comedy)
movies_genre(314, Drama)
movies_genre(315, Drama)
movies_genre(316, Action)
movies_genre(317, Drama)
movies_genre(318, Drama)
movies_genre(319, Drama)
movies_genre(320, Thriller)
movies_genre(321, Drama)
movies_genre(322, Drama)
movies_genre(324, Drama)
movies_genre(325, Comedy)
movies_genre(326, Drama)
movies_genre(327, Comedy)
movies_genre(328, Thriller)
movies_genre(329, Drama)
movies_genre(330, Action)
movies_genre(331, Drama)
movies_genre(1219, Thriller)
movies_genre(333, Comedy)
movies_genre(334, Drama)
movies_genre(335, Thriller)
movies_genre(336, Drama)
movies_genre(337, Drama)
movies_genre(338, Thriller)
movies_genre(339, Comedy)
movies_genre(340, Drama)
movies_genre(341, Drama)
movies_genre(342, Comedy)
movies_genre(344, Comedy)
movies_genre(345, Drama)
movies_genre(346, Drama)
movies_genre(347, Drama)
movies_genre(348, Comedy)
movies_genre(349, Thriller)
movies_genre(350, Drama)
movies_genre(351, Drama)
movies_genre(352, Comedy)
movies_genre(353, Thriller)
movies_genre(354, Drama)
movies_genre(355, Comedy)
movies_genre(356, Drama)
movies_genre(357, Comedy)
movies_genre(358, Drama)
movies_genre(359, Drama)
movies_genre(360, Comedy)
movies_genre(361, Drama)
movies_genre(364, Drama)
movies_genre(365, Drama)
movies_genre(367, Comedy)
movies_genre(368, Comedy)
movies_genre(369, Drama)
movies_genre(370, Comedy)
movies_genre(371, Drama)
movies_genre(372, Drama)
movies_genre(373, Thriller)
movies_genre(374, Comedy)
movies_genre(375, Drama)
movies_genre(376, Thriller)
movies_genre(377, Thriller)
movies_genre(378, Comedy)
movies_genre(379, Thriller)
movies_genre(380, Comedy)
movies_genre(381, Drama)
movies_genre(382, Drama)
movies_genre(384, Drama)
movies_genre(385, Drama)
movies_genre(386, Drama)
movies_genre(387, Comedy)
movies_genre(388, Drama)
movies_genre(389, Drama)
movies_genre(390, Drama)
movies_genre(391, Drama)
movies_genre(393, Action)
movies_genre(394, Comedy)
movies_genre(395, Drama)
movies_genre(396, Drama)
movies_genre(401, Thriller)
movies_genre(402, Comedy)
movies_genre(405, Action)
movies_genre(406, Drama)
movies_genre(407, Thriller)
movies_genre(408, Drama)
movies_genre(409, Drama)
movies_genre(410, Comedy)
movies_genre(412, Drama)
movies_genre(413, Comedy)
movies_genre(414, Comedy)
movies_genre(415, Comedy)
movies_genre(417, Comedy)
movies_genre(418, Drama)
movies_genre(419, Comedy)
movies_genre(420, Comedy)
movies_genre(423, Thriller)
movies_genre(424, Drama)
movies_genre(425, Drama)
movies_genre(426, Thriller)
movies_genre(427, Drama)
movies_genre(428, Drama)
movies_genre(429, Comedy)
movies_genre(430, Drama)
movies_genre(431, Drama)
movies_genre(458, Drama)
movies_genre(432, Comedy)
movies_genre(433, Comedy)
movies_genre(434, Thriller)
movies_genre(435, Comedy)
movies_genre(436, Drama)
movies_genre(437, Comedy)
movies_genre(438, Drama)
movies_genre(440, Comedy)
movies_genre(441, Comedy)
movies_genre(442, Action)
movies_genre(444, Comedy)
movies_genre(445, Comedy)
movies_genre(446, Drama)
movies_genre(447, Comedy)
movies_genre(448, Drama)
movies_genre(449, Comedy)
movies_genre(450, Drama)
movies_genre(451, Drama)
movies_genre(452, Drama)
movies_genre(454, Drama)
movies_genre(455, Drama)
movies_genre(456, Drama)
movies_genre(457, Thriller)
movies_genre(459, Drama)
movies_genre(460, Comedy)
movies_genre(461, Drama)
movies_genre(462, Action)
movies_genre(463, Drama)
movies_genre(464, Thriller)
movies_genre(465, Drama)
movies_genre(466, Comedy)
movies_genre(467, Comedy)
movies_genre(468, Comedy)
movies_genre(469, Drama)
movies_genre(470, Comedy)
movies_genre(471, Drama)
movies_genre(472, Drama)
movies_genre(473, Comedy)
movies_genre(474, Thriller)
movies_genre(475, Drama)
movies_genre(476, Drama)
movies_genre(477, Drama)
movies_genre(478, Drama)
movies_genre(479, Thriller)
movies_genre(480, Thriller)
movies_genre(481, Drama)
movies_genre(482, Action)
movies_genre(483, Drama)
movies_genre(485, Comedy)
movies_genre(486, Comedy)
movies_genre(487, Comedy)
movies_genre(488, Drama)
movies_genre(489, Comedy)
movies_genre(490, Thriller)
movies_genre(491, Drama)
movies_genre(492, Comedy)
movies_genre(493, Drama)
movies_genre(494, Thriller)
movies_genre(495, Drama)
movies_genre(496, Drama)
movies_genre(497, Comedy)
movies_genre(498, Drama)
movies_genre(499, Comedy)
movies_genre(500, Drama)
movies_genre(501, Drama)
movies_genre(502, Action)
movies_genre(504, Action)
movies_genre(505, Comedy)
movies_genre(506, Drama)
movies_genre(507, Drama)
movies_genre(508, Drama)
movies_genre(509, Drama)
movies_genre(510, Drama)
movies_genre(511, Drama)
movies_genre(513, Comedy)
movies_genre(514, Comedy)
movies_genre(515, Drama)
movies_genre(516, Drama)
movies_genre(517, Drama)
movies_genre(518, Comedy)
movies_genre(519, Thriller)
movies_genre(520, Comedy)
movies_genre(521, Thriller)
movies_genre(522, Drama)
movies_genre(523, Drama)
movies_genre(524, Drama)
movies_genre(525, Drama)
movies_genre(526, Drama)
movies_genre(527, Drama)
movies_genre(528, Comedy)
movies_genre(529, Drama)
movies_genre(530, Drama)
movies_genre(531, Drama)
movies_genre(532, Comedy)
movies_genre(533, Action)
movies_genre(534, Drama)
movies_genre(535, Drama)
movies_genre(536, Drama)
movies_genre(537, Drama)
movies_genre(538, Drama)
movies_genre(539, Drama)
movies_genre(540, Thriller)
movies_genre(541, Drama)
movies_genre(542, Comedy)
movies_genre(543, Comedy)
movies_genre(544, Action)
movies_genre(545, Drama)
movies_genre(546, Comedy)
movies_genre(547, Thriller)
movies_genre(548, Thriller)
movies_genre(549, Drama)
movies_genre(550, Comedy)
movies_genre(552, Comedy)
movies_genre(553, Drama)
movies_genre(554, Drama)
movies_genre(555, Action)
movies_genre(558, Action)
movies_genre(559, Comedy)
movies_genre(560, Drama)
movies_genre(561, Drama)
movies_genre(562, Drama)
movies_genre(563, Drama)
movies_genre(564, Comedy)
movies_genre(565, Drama)
movies_genre(566, Comedy)
movies_genre(567, Drama)
movies_genre(568, Drama)
movies_genre(569, Drama)
movies_genre(570, Drama)
movies_genre(571, Drama)
movies_genre(572, Drama)
movies_genre(573, Drama)
movies_genre(574, Drama)
movies_genre(575, Comedy)
movies_genre(579, Thriller)
movies_genre(580, Drama)
movies_genre(582, Drama)
movies_genre(583, Drama)
movies_genre(585, Comedy)
movies_genre(586, Comedy)
movies_genre(587, Drama)
movies_genre(588, Comedy)
movies_genre(589, Action)
movies_genre(590, Drama)
movies_genre(592, Thriller)
movies_genre(593, Thriller)
movies_genre(594, Drama)
movies_genre(597, Comedy)
movies_genre(598, Comedy)
movies_genre(600, Thriller)
movies_genre(603, Comedy)
movies_genre(605, Drama)
movies_genre(608, Drama)
movies_genre(610, Action)
movies_genre(611, Action)
movies_genre(612, Comedy)
movies_genre(613, Drama)
movies_genre(614, Drama)
movies_genre(615, Drama)
movies_genre(617, Drama)
movies_genre(618, Comedy)
movies_genre(619, Comedy)
movies_genre(620, Drama)
movies_genre(621, Drama)
movies_genre(624, Drama)
movies_genre(625, Drama)
movies_genre(626, Comedy)
movies_genre(627, Drama)
movies_genre(628, Drama)
movies_genre(629, Drama)
movies_genre(630, Drama)
movies_genre(662, Thriller)
movies_genre(632, Drama)
movies_genre(633, Comedy)
movies_genre(634, Comedy)
movies_genre(635, Drama)
movies_genre(636, Drama)
movies_genre(637, Comedy)
movies_genre(639, Drama)
movies_genre(640, Drama)
movies_genre(641, Comedy)
movies_genre(643, Comedy)
movies_genre(645, Drama)
movies_genre(647, Drama)
movies_genre(648, Thriller)
movies_genre(649, Drama)
movies_genre(650, Drama)
movies_genre(651, Comedy)
movies_genre(652, Thriller)
movies_genre(653, Action)
movies_genre(655, Comedy)
movies_genre(656, Comedy)
movies_genre(658, Drama)
movies_genre(659, Drama)
movies_genre(660, Drama)
movies_genre(663, Comedy)
movies_genre(664, Comedy)
movies_genre(665, Drama)
movies_genre(666, Drama)
movies_genre(667, Action)
movies_genre(668, Drama)
movies_genre(701, Drama)
movies_genre(670, Drama)
movies_genre(671, Comedy)
movies_genre(673, Comedy)
movies_genre(678, Drama)
movies_genre(679, Drama)
movies_genre(680, Drama)
movies_genre(682, Drama)
movies_genre(685, Drama)
movies_genre(687, Drama)
movies_genre(688, Comedy)
movies_genre(690, Drama)
movies_genre(691, Comedy)
movies_genre(692, Thriller)
movies_genre(693, Drama)
movies_genre(694, Drama)
movies_genre(695, Thriller)
movies_genre(696, Drama)
movies_genre(697, Drama)
movies_genre(698, Drama)
movies_genre(700, Comedy)
movies_genre(789, Drama)
movies_genre(702, Drama)
movies_genre(703, Drama)
movies_genre(704, Action)
movies_genre(705, Comedy)
movies_genre(706, Drama)
movies_genre(707, Drama)
movies_genre(708, Comedy)
movies_genre(709, Comedy)
movies_genre(710, Comedy)
movies_genre(712, Drama)
movies_genre(713, Drama)
movies_genre(714, Drama)
movies_genre(715, Drama)
movies_genre(717, Comedy)
movies_genre(718, Comedy)
movies_genre(719, Comedy)
movies_genre(720, Comedy)
movies_genre(724, Drama)
movies_genre(725, Comedy)
movies_genre(726, Drama)
movies_genre(728, Comedy)
movies_genre(729, Drama)
movies_genre(730, Drama)
movies_genre(731, Thriller)
movies_genre(733, Thriller)
movies_genre(734, Comedy)
movies_genre(735, Comedy)
movies_genre(736, Thriller)
movies_genre(737, Action)
movies_genre(738, Drama)
movies_genre(742, Thriller)
movies_genre(743, Comedy)
movies_genre(744, Drama)
movies_genre(745, Comedy)
movies_genre(747, Comedy)
movies_genre(748, Thriller)
movies_genre(750, Comedy)
movies_genre(751, Comedy)
movies_genre(753, Drama)
movies_genre(755, Drama)
movies_genre(757, Drama)
movies_genre(760, Drama)
movies_genre(761, Action)
movies_genre(762, Comedy)
movies_genre(763, Drama)
movies_genre(764, Drama)
movies_genre(765, Drama)
movies_genre(766, Drama)
movies_genre(767, Drama)
movies_genre(771, Drama)
movies_genre(774, Drama)
movies_genre(778, Drama)
movies_genre(779, Drama)
movies_genre(780, Action)
movies_genre(781, Drama)
movies_genre(782, Drama)
movies_genre(784, Comedy)
movies_genre(785, Comedy)
movies_genre(786, Drama)
movies_genre(788, Comedy)
movies_genre(793, Drama)
movies_genre(795, Drama)
movies_genre(796, Drama)
movies_genre(798, Drama)
movies_genre(799, Comedy)
movies_genre(800, Drama)
movies_genre(801, Comedy)
movies_genre(802, Drama)
movies_genre(803, Drama)
movies_genre(804, Comedy)
movies_genre(805, Drama)
movies_genre(806, Drama)
movies_genre(807, Comedy)
movies_genre(809, Action)
movies_genre(810, Comedy)
movies_genre(813, Comedy)
movies_genre(814, Drama)
movies_genre(815, Thriller)
movies_genre(818, Comedy)
movies_genre(820, Drama)
movies_genre(823, Drama)
movies_genre(824, Drama)
movies_genre(827, Drama)
movies_genre(829, Comedy)
movies_genre(830, Comedy)
movies_genre(831, Drama)
movies_genre(832, Drama)
movies_genre(833, Comedy)
movies_genre(834, Comedy)
movies_genre(835, Drama)
movies_genre(836, Thriller)
movies_genre(837, Comedy)
movies_genre(838, Drama)
movies_genre(839, Thriller)
movies_genre(840, Comedy)
movies_genre(842, Comedy)
movies_genre(844, Drama)
movies_genre(845, Drama)
movies_genre(846, Drama)
movies_genre(847, Drama)
movies_genre(848, Drama)
movies_genre(849, Thriller)
movies_genre(850, Drama)
movies_genre(851, Drama)
movies_genre(852, Drama)
movies_genre(853, Drama)
movies_genre(858, Drama)
movies_genre(860, Comedy)
movies_genre(861, Comedy)
movies_genre(862, Drama)
movies_genre(864, Drama)
movies_genre(865, Drama)
movies_genre(866, Drama)
movies_genre(867, Comedy)
movies_genre(868, Comedy)
movies_genre(870, Comedy)
movies_genre(872, Drama)
movies_genre(875, Drama)
movies_genre(876, Comedy)
movies_genre(877, Drama)
movies_genre(879, Thriller)
movies_genre(880, Thriller)
movies_genre(881, Comedy)
movies_genre(882, Drama)
movies_genre(884, Drama)
movies_genre(885, Drama)
movies_genre(1416, Drama)
movies_genre(886, Action)
movies_genre(887, Drama)
movies_genre(888, Drama)
movies_genre(889, Drama)
movies_genre(891, Thriller)
movies_genre(892, Drama)
movies_genre(893, Drama)
movies_genre(1133, Drama)
movies_genre(896, Drama)
movies_genre(897, Drama)
movies_genre(898, Comedy)
movies_genre(899, Comedy)
movies_genre(901, Comedy)
movies_genre(902, Drama)
movies_genre(903, Drama)
movies_genre(904, Thriller)
movies_genre(905, Comedy)
movies_genre(906, Drama)
movies_genre(907, Comedy)
movies_genre(908, Thriller)
movies_genre(909, Drama)
movies_genre(910, Comedy)
movies_genre(911, Comedy)
movies_genre(912, Drama)
movies_genre(914, Drama)
movies_genre(915, Comedy)
movies_genre(916, Comedy)
movies_genre(917, Drama)
movies_genre(920, Drama)
movies_genre(1730, Drama)
movies_genre(921, Comedy)
movies_genre(922, Drama)
movies_genre(923, Drama)
movies_genre(926, Drama)
movies_genre(927, Comedy)
movies_genre(928, Drama)
movies_genre(929, Drama)
movies_genre(930, Thriller)
movies_genre(931, Thriller)
movies_genre(933, Thriller)
movies_genre(934, Comedy)
movies_genre(935, Comedy)
movies_genre(1740, Drama)
movies_genre(936, Comedy)
movies_genre(937, Comedy)
movies_genre(939, Drama)
movies_genre(940, Action)
movies_genre(943, Drama)
movies_genre(944, Drama)
movies_genre(945, Comedy)
movies_genre(946, Drama)
movies_genre(947, Comedy)
movies_genre(948, Drama)
movies_genre(949, Drama)
movies_genre(950, Comedy)
movies_genre(951, Comedy)
movies_genre(952, Comedy)
movies_genre(953, Drama)
movies_genre(954, Drama)
movies_genre(955, Comedy)
movies_genre(956, Drama)
movies_genre(957, Drama)
movies_genre(958, Comedy)
movies_genre(959, Drama)
movies_genre(960, Drama)
movies_genre(961, Drama)
movies_genre(965, Drama)
movies_genre(968, Thriller)
movies_genre(969, Comedy)
movies_genre(970, Drama)
movies_genre(971, Drama)
movies_genre(972, Drama)
movies_genre(973, Drama)
movies_genre(974, Drama)
movies_genre(980, Action)
movies_genre(981, Drama)
movies_genre(982, Drama)
movies_genre(984, Drama)
movies_genre(987, Drama)
movies_genre(988, Drama)
movies_genre(2104, Drama)
movies_genre(989, Drama)
movies_genre(990, Thriller)
movies_genre(991, Drama)
movies_genre(992, Thriller)
movies_genre(993, Drama)
movies_genre(994, Drama)
movies_genre(996, Drama)
movies_genre(997, Drama)
movies_genre(998, Action)
movies_genre(1001, Comedy)
movies_genre(1002, Comedy)
movies_genre(1003, Drama)
movies_genre(1004, Thriller)
movies_genre(1005, Comedy)
movies_genre(1006, Drama)
movies_genre(1007, Comedy)
movies_genre(1010, Comedy)
movies_genre(1011, Comedy)
movies_genre(1012, Drama)
movies_genre(1013, Comedy)
movies_genre(1014, Drama)
movies_genre(1015, Drama)
movies_genre(1016, Comedy)
movies_genre(1018, Comedy)
movies_genre(1020, Comedy)
movies_genre(1021, Comedy)
movies_genre(1026, Drama)
movies_genre(1027, Drama)
movies_genre(1028, Comedy)
movies_genre(1029, Drama)
movies_genre(1033, Drama)
movies_genre(1034, Drama)
movies_genre(1036, Thriller)
movies_genre(1037, Thriller)
movies_genre(1038, Drama)
movies_genre(1040, Drama)
movies_genre(1041, Drama)
movies_genre(1042, Drama)
movies_genre(1043, Drama)
movies_genre(1044, Drama)
movies_genre(1045, Drama)
movies_genre(1046, Drama)
movies_genre(1047, Drama)
movies_genre(1049, Action)
movies_genre(1050, Drama)
movies_genre(1051, Drama)
movies_genre(1053, Drama)
movies_genre(1054, Drama)
movies_genre(1055, Thriller)
movies_genre(1056, Drama)
movies_genre(1057, Comedy)
movies_genre(1058, Drama)
movies_genre(1059, Drama)
movies_genre(1060, Drama)
movies_genre(1061, Thriller)
movies_genre(1062, Drama)
movies_genre(1063, Drama)
movies_genre(1064, Comedy)
movies_genre(1066, Comedy)
movies_genre(1067, Comedy)
movies_genre(1069, Thriller)
movies_genre(1073, Comedy)
movies_genre(1076, Drama)
movies_genre(1077, Comedy)
movies_genre(1078, Comedy)
movies_genre(1079, Comedy)
movies_genre(1080, Comedy)
movies_genre(1081, Comedy)
movies_genre(1082, Drama)
movies_genre(1083, Comedy)
movies_genre(1084, Drama)
movies_genre(1085, Drama)
movies_genre(1086, Thriller)
movies_genre(1088, Drama)
movies_genre(1089, Drama)
movies_genre(1090, Drama)
movies_genre(1091, Comedy)
movies_genre(1092, Thriller)
movies_genre(1093, Drama)
movies_genre(1094, Drama)
movies_genre(1095, Drama)
movies_genre(1096, Drama)
movies_genre(1097, Drama)
movies_genre(1098, Comedy)
movies_genre(1099, Drama)
movies_genre(1100, Drama)
movies_genre(1101, Action)
movies_genre(1102, Action)
movies_genre(1103, Drama)
movies_genre(1104, Drama)
movies_genre(1107, Comedy)
movies_genre(1112, Drama)
movies_genre(1113, Comedy)
movies_genre(1114, Drama)
movies_genre(1115, Drama)
movies_genre(1116, Drama)
movies_genre(1117, Drama)
movies_genre(1119, Drama)
movies_genre(1120, Drama)
movies_genre(1121, Drama)
movies_genre(1124, Drama)
movies_genre(1125, Comedy)
movies_genre(1126, Comedy)
movies_genre(1127, Thriller)
movies_genre(1187, Drama)
movies_genre(1129, Thriller)
movies_genre(1131, Drama)
movies_genre(1132, Drama)
movies_genre(1135, Comedy)
movies_genre(1136, Comedy)
movies_genre(1138, Drama)
movies_genre(1139, Drama)
movies_genre(1140, Drama)
movies_genre(1142, Drama)
movies_genre(1143, Comedy)
movies_genre(1146, Drama)
movies_genre(1148, Comedy)
movies_genre(1149, Drama)
movies_genre(1150, Drama)
movies_genre(1151, Comedy)
movies_genre(1152, Thriller)
movies_genre(1156, Drama)
movies_genre(1157, Drama)
movies_genre(1161, Drama)
movies_genre(1162, Drama)
movies_genre(1163, Drama)
movies_genre(1164, Drama)
movies_genre(1167, Comedy)
movies_genre(1168, Action)
movies_genre(1170, Action)
movies_genre(1171, Comedy)
movies_genre(1172, Drama)
movies_genre(1173, Drama)
movies_genre(1174, Comedy)
movies_genre(1175, Drama)
movies_genre(1176, Drama)
movies_genre(1177, Drama)
movies_genre(1178, Drama)
movies_genre(1179, Drama)
movies_genre(1180, Comedy)
movies_genre(1183, Drama)
movies_genre(1184, Drama)
movies_genre(1185, Drama)
movies_genre(1186, Drama)
movies_genre(1188, Comedy)
movies_genre(1190, Drama)
movies_genre(1193, Drama)
movies_genre(1194, Comedy)
movies_genre(1196, Action)
movies_genre(1197, Comedy)
movies_genre(1198, Action)
movies_genre(1199, Comedy)
movies_genre(1200, Thriller)
movies_genre(1201, Action)
movies_genre(1202, Comedy)
movies_genre(1203, Drama)
movies_genre(1204, Drama)
movies_genre(1206, Drama)
movies_genre(1207, Drama)
movies_genre(1208, Drama)
movies_genre(1209, Drama)
movies_genre(1210, Action)
movies_genre(1211, Drama)
movies_genre(1212, Thriller)
movies_genre(1213, Drama)
movies_genre(1214, Thriller)
movies_genre(1215, Comedy)
movies_genre(1216, Drama)
movies_genre(1217, Drama)
movies_genre(1218, Drama)
movies_genre(1220, Comedy)
movies_genre(1221, Drama)
movies_genre(1222, Drama)
movies_genre(1223, Comedy)
movies_genre(1224, Drama)
movies_genre(1225, Drama)
movies_genre(1226, Comedy)
movies_genre(1227, Drama)
movies_genre(1228, Drama)
movies_genre(1230, Comedy)
movies_genre(1231, Drama)
movies_genre(1232, Drama)
movies_genre(1233, Drama)
movies_genre(1234, Comedy)
movies_genre(1235, Drama)
movies_genre(1236, Drama)
movies_genre(1237, Drama)
movies_genre(1238, Comedy)
movies_genre(1240, Thriller)
movies_genre(1241, Comedy)
movies_genre(1242, Drama)
movies_genre(1243, Drama)
movies_genre(1244, Drama)
movies_genre(1245, Drama)
movies_genre(1350, Drama)
movies_genre(1246, Drama)
movies_genre(1247, Drama)
movies_genre(1248, Thriller)
movies_genre(1249, Thriller)
movies_genre(1250, Drama)
movies_genre(1251, Drama)
movies_genre(1252, Thriller)
movies_genre(1253, Drama)
movies_genre(1254, Drama)
movies_genre(1255, Comedy)
movies_genre(1256, Comedy)
movies_genre(1257, Comedy)
movies_genre(1258, Thriller)
movies_genre(1259, Drama)
movies_genre(1260, Thriller)
movies_genre(1261, Comedy)
movies_genre(1262, Drama)
movies_genre(1263, Drama)
movies_genre(1264, Drama)
movies_genre(1265, Comedy)
movies_genre(1266, Drama)
movies_genre(1267, Thriller)
movies_genre(1268, Drama)
movies_genre(1269, Comedy)
